benchmark_version,sample,analysis_version,population,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,all,all,1988,2025,4639,4639,4639,1439.317789752343,1300,-139.31778975234306,31.02646669006991,28.023280879499893,-3.0031858105700167,-4.58889421470695,0.17995097822906456,0.5356458355784874,38,38,38,2000,5295144928585836625,0.95,30.51275320689694,31.572274677225938,26.679331164107236,29.30042541715562,-4.127344503194575,-1.8981647764511047,-6.312460275397395,-2.8987735595292983,0.17513506341678034,0.18475117287127418,0.5240747163363737,0.5469531649484006
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R128,1988,2025,2333,2333,2333,767.4429815883329,695,-72.44298158833294,32.895112798471196,29.789969995713676,-3.1051428027575203,-3.299340570106617,0.18625566621397474,0.5502355395504706,38,38,38,2000,18103742606268246404,0.95,32.47067441505412,33.335775637915724,28.24737237237237,31.41512839872438,-4.625835188087354,-1.5453623379993033,-4.917557376934123,-1.635485818488704,0.1809324003506601,0.19175957406050165,0.5380135531303766,0.5626852172047957
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R64,1988,2025,1174,1174,1174,342.5917707213912,311,-31.591770721391185,29.181581833167904,26.490630323679728,-2.6909515094881757,-2.1084698961770125,0.17415375078139186,0.5231220277309632,38,38,38,2000,10324680341461258555,0.95,28.240211681928116,30.166811786055412,24.270745582429182,28.7920998127792,-4.44390002250184,-0.8175292823999383,-3.4867163903824494,-0.6353024381169419,0.1645353579106662,0.18323962551953532,0.49993786118940076,0.5451765231885086
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R32,1988,2025,587,587,587,171.94371099621648,149,-22.94371099621648,29.291943951655277,25.383304940374785,-3.9086390112804907,-2.172228132544647,0.16715255515456248,0.5042602123861563,38,38,38,2000,3305823073889865723,0.95,28.3004617693191,30.313790833335794,21.657637129342177,29.34306438729146,-7.643588663527489,0.17721753849150093,-4.2329786879661,0.09798767911864713,0.15533333114724554,0.1793558959329261,0.4777435990169465,0.5320287298502164
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,R16,1988,2025,293,293,293,82.6603776689109,73,-9.660377668910897,28.211732992802357,24.91467576791809,-3.2970572248842656,-1.308834169922066,0.17594527825918257,0.5266710156798551,38,38,38,2000,17193237008873618390,0.95,26.668151257657488,29.785882831608188,20.205479452054792,29.96518612372271,-7.5625032954810045,1.4589947580065834,-3.024379753609065,0.5757922300605656,0.15646373790597468,0.19582740913205368,0.4812272178672913,0.5731187123608917
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,QF,1988,2025,143,143,143,40.99513168781806,42,1.0048683121819408,28.667924257215425,29.37062937062937,0.7027051134139446,0.19254662972483277,0.18063988818385424,0.5349038653054147,38,38,38,2000,14649408387662352341,0.95,26.654925056928505,30.557703728349036,22.06896551724138,36.11111111111111,-5.496220776844418,6.6613942318707675,-1.524457581521303,1.8394295164173062,0.1517804136537622,0.20677537021974418,0.46976761885124324,0.593933577847215
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,SF,1988,2025,72,72,72,21.39998774137202,22,0.6000122586279808,29.722205196350025,30.555555555555554,0.8333503592055289,0.15963469697483573,0.1984886969218284,0.5787923818777911,38,38,38,2000,11043162585362684767,0.95,26.91240264571433,32.54145807367919,19.17808219178082,41.0958904109589,-9.719762128749725,10.937084442234152,-1.8656213052345434,2.1102218454554995,0.15076987243388704,0.24431879117846872,0.47223013300974137,0.6823313923838604
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,round,F,1988,2025,37,37,37,12.283829348297418,8,-4.283829348297418,33.19953877918221,21.62162162162162,-11.57791715756059,-1.5425129205233599,0.16238942474975088,0.5009892006071021,37,37,37,2000,13777683707306557048,0.95,29.50214945243686,36.809710592824345,10.81081081081081,35.13513513513514,-23.23359753720053,1.4071748946895024,-3.073307882658988,0.18982525739872091,0.12333472646774875,0.20629606589826902,0.41378726053194687,0.5983554297719178
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,1988-1999,1988,1999,1473,1473,1473,471.91651526296516,455,-16.916515262965163,32.03778107691549,30.889341479972845,-1.1484395969426453,-0.9784881092700716,0.19205970680649986,0.5630397349058676,12,12,12,2000,3292965055674157283,0.95,31.376485874698425,32.683654772021164,28.959891230455472,32.88137886745717,-3.141647553542557,0.7620608841506119,-2.6625819420625785,0.6507713316769088,0.1865298402147547,0.19766881304537537,0.5504881786703428,0.5763764862458961
market-odds-v1,maximum_available,slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,era,2000-2009,2000,2009,1219,1219,1219,385.90605715194727,341,-44.906057151947266,31.657592875467373,27.97374897456932,-3.683843900898053,-2.857601644025616,0.17998215635508164,0.5367849005500075,10,10,10,2000,13371703827893909183,0.95,30.607630717564724,32.74903445687353,26.118535234300783,29.966900899540523,-5.091029037383468,-2.138322315107161,-3.9589665688652977,-1.661145793967107,0.17151413767565676,0.1885569513209584,0.5169541596323131,0.5570165522967084
